Player,Rating 2.0,KPR,HS,Maps Played,DPR,Rounds Contributed
NiKo,"Rating 2.0
                          1.23","Kills per round
                          0.77","Headshots
                          55.8%","Maps played
                          52","Deaths per round
                          0.61","Rounds contributed
                          74.2%"
huNter-,"Rating 2.0
                          1.11","Kills per round
                          0.72","Headshots
                          49.2%","Maps played
                          52","Deaths per round
                          0.66","Rounds contributed
                          72.6%"
nexa,"Rating 2.0
                          0.96","Kills per round
                          0.60","Headshots
                          50.7%","Maps played
                          62","Deaths per round
                          0.65","Rounds contributed
                          71.4%"
JACKZ,"Rating 2.0
                          0.97","Kills per round
                          0.60","Headshots
                          63.1%","Maps played
                          25","Deaths per round
                          0.66","Rounds contributed
                          69.3%"
AMANEK,,,,,,
s1mple,"Rating 2.0
                          1.16","Kills per round
                          0.75","Headshots
                          40.4%","Maps played
                          40","Deaths per round
                          0.61","Rounds contributed
                          72.3%"
b1t,"Rating 2.0
                          1.09","Kills per round
                          0.68","Headshots
                          61.9%","Maps played
                          40","Deaths per round
                          0.62","Rounds contributed
                          72.1%"
Perfecto,"Rating 2.0
                          1.08","Kills per round
                          0.66","Headshots
                          42.3%","Maps played
                          41","Deaths per round
                          0.60","Rounds contributed
                          75.3%"
electroNic,"Rating 2.0
                          1.04","Kills per round
                          0.66","Headshots
                          47.1%","Maps played
                          41","Deaths per round
                          0.71","Rounds contributed
                          70.9%"
Boombl4,"Rating 2.0
                          1.07","Kills per round
                          0.67","Headshots
                          38.2%","Maps played
                          59","Deaths per round
                          0.68","Rounds contributed
                          71.2%"
rain,"Rating 2.0
                          1.00","Kills per round
                          0.62","Headshots
                          55.6%","Maps played
                          28","Deaths per round
                          0.68","Rounds contributed
                          66.3%"
broky,"Rating 2.0
                          1.06","Kills per round
                          0.65","Headshots
                          31.2%","Maps played
                          28","Deaths per round
                          0.59","Rounds contributed
                          71.0%"
Twistzz,"Rating 2.0
                          1.10","Kills per round
                          0.70","Headshots
                          58.4%","Maps played
                          28","Deaths per round
                          0.61","Rounds contributed
                          73.2%"
karrigan,"Rating 2.0
                          0.86","Kills per round
                          0.53","Headshots
                          45.0%","Maps played
                          28","Deaths per round
                          0.68","Rounds contributed
                          65.1%"
olofmeister,,,,,,
dupreeh,,,,,,
gla1ve,,,,,,
Xyp9x,,,,,,
Magisk,"Rating 2.0
                          1.14","Kills per round
                          0.70","Headshots
                          48.1%","Maps played
                          36","Deaths per round
                          0.61","Rounds contributed
                          73.9%"
Bubzkji,,,,,,
nafany,"Rating 2.0
                          0.99","Kills per round
                          0.64","Headshots
                          56.4%","Maps played
                          40","Deaths per round
                          0.71","Rounds contributed
                          69.0%"
Ax1Le,"Rating 2.0
                          1.10","Kills per round
                          0.71","Headshots
                          46.4%","Maps played
                          30","Deaths per round
                          0.67","Rounds contributed
                          72.8%"
sh1ro,"Rating 2.0
                          1.19","Kills per round
                          0.76","Headshots
                          30.4%","Maps played
                          41","Deaths per round
                          0.58","Rounds contributed
                          74.5%"
HObbit,"Rating 2.0
                          0.99","Kills per round
                          0.61","Headshots
                          45.5%","Maps played
                          41","Deaths per round
                          0.67","Rounds contributed
                          70.2%"
interz,"Rating 2.0
                          1.04","Kills per round
                          0.63","Headshots
                          45.7%","Maps played
                          25","Deaths per round
                          0.59","Rounds contributed
                          75.6%"
Jame,"Rating 2.0
                          1.19","Kills per round
                          0.69","Headshots
                          25.9%","Maps played
                          52","Deaths per round
                          0.50","Rounds contributed
                          77.5%"
buster,"Rating 2.0
                          0.85","Kills per round
                          0.49","Headshots
                          41.7%","Maps played
                          11","Deaths per round
                          0.63","Rounds contributed
                          67.4%"
YEKINDAR,"Rating 2.0
                          1.02","Kills per round
                          0.63","Headshots
                          57.0%","Maps played
                          42","Deaths per round
                          0.69","Rounds contributed
                          66.9%"
Qikert,"Rating 2.0
                          1.01","Kills per round
                          0.60","Headshots
                          54.5%","Maps played
                          47","Deaths per round
                          0.62","Rounds contributed
                          72.0%"
SANJI,,,,,,
TeSeS,"Rating 2.0
                          1.06","Kills per round
                          0.67","Headshots
                          51.2%","Maps played
                          33","Deaths per round
                          0.66","Rounds contributed
                          73.2%"
stavn,"Rating 2.0
                          1.16","Kills per round
                          0.75","Headshots
                          45.2%","Maps played
                          33","Deaths per round
                          0.67","Rounds contributed
                          73.5%"
sjuush,"Rating 2.0
                          1.08","Kills per round
                          0.67","Headshots
                          48.9%","Maps played
                          33","Deaths per round
                          0.64","Rounds contributed
                          73.7%"
cadiaN,"Rating 2.0
                          1.07","Kills per round
                          0.66","Headshots
                          29.5%","Maps played
                          33","Deaths per round
                          0.59","Rounds contributed
                          70.1%"
refrezh,"Rating 2.0
                          1.05","Kills per round
                          0.67","Headshots
                          47.2%","Maps played
                          91","Deaths per round
                          0.67","Rounds contributed
                          71.2%"
k1to,"Rating 2.0
                          0.97","Kills per round
                          0.63","Headshots
                          62.7%","Maps played
                          62","Deaths per round
                          0.69","Rounds contributed
                          67.7%"
syrsoN,"Rating 2.0
                          1.12","Kills per round
                          0.74","Headshots
                          23.0%","Maps played
                          35","Deaths per round
                          0.64","Rounds contributed
                          69.7%"
XANTARES,"Rating 2.0
                          1.30","Kills per round
                          0.80","Headshots
                          52.6%","Maps played
                          64","Deaths per round
                          0.62","Rounds contributed
                          74.3%"
tabseN,"Rating 2.0
                          1.05","Kills per round
                          0.67","Headshots
                          52.2%","Maps played
                          64","Deaths per round
                          0.71","Rounds contributed
                          68.7%"
tiziaN,"Rating 2.0
                          0.99","Kills per round
                          0.64","Headshots
                          53.5%","Maps played
                          47","Deaths per round
                          0.71","Rounds contributed
                          68.6%"
KSCERATO,"Rating 2.0
                          1.18","Kills per round
                          0.71","Headshots
                          47.9%","Maps played
                          39","Deaths per round
                          0.59","Rounds contributed
                          75.1%"
yuurih,"Rating 2.0
                          1.09","Kills per round
                          0.68","Headshots
                          41.4%","Maps played
                          40","Deaths per round
                          0.64","Rounds contributed
                          70.8%"
honda,,,,,,
VINI,"Rating 2.0
                          0.99","Kills per round
                          0.62","Headshots
                          42.0%","Maps played
                          20","Deaths per round
                          0.69","Rounds contributed
                          69.9%"
arT,"Rating 2.0
                          1.03","Kills per round
                          0.65","Headshots
                          43.0%","Maps played
                          40","Deaths per round
                          0.69","Rounds contributed
                          69.4%"
ZywOo,"Rating 2.0
                          1.28","Kills per round
                          0.80","Headshots
                          43.2%","Maps played
                          36","Deaths per round
                          0.57","Rounds contributed
                          76.2%"
misutaaa,"Rating 2.0
                          1.04","Kills per round
                          0.63","Headshots
                          50.1%","Maps played
                          37","Deaths per round
                          0.65","Rounds contributed
                          71.1%"
Kyojin,,,,,,
shox,,,,,,
apEX,"Rating 2.0
                          0.94","Kills per round
                          0.56","Headshots
                          43.9%","Maps played
                          36","Deaths per round
                          0.66","Rounds contributed
                          67.6%"
hampus,"Rating 2.0
                          0.96","Kills per round
                          0.60","Headshots
                          38.9%","Maps played
                          37","Deaths per round
                          0.68","Rounds contributed
                          66.3%"
REZ,"Rating 2.0
                          0.98","Kills per round
                          0.61","Headshots
                          50.2%","Maps played
                          37","Deaths per round
                          0.62","Rounds contributed
                          70.6%"
device,"Rating 2.0
                          1.21","Kills per round
                          0.75","Headshots
                          24.4%","Maps played
                          41","Deaths per round
                          0.56","Rounds contributed
                          73.2%"
Plopski,"Rating 2.0
                          1.18","Kills per round
                          0.73","Headshots
                          45.9%","Maps played
                          6","Deaths per round
                          0.62","Rounds contributed
                          71.9%"
LNZ,"Rating 2.0
                          0.97","Kills per round
                          0.62","Headshots
                          49.0%","Maps played
                          32","Deaths per round
                          0.69","Rounds contributed
                          68.8%"
NAF,"Rating 2.0
                          1.08","Kills per round
                          0.68","Headshots
                          39.3%","Maps played
                          42","Deaths per round
                          0.61","Rounds contributed
                          72.0%"
EliGE,"Rating 2.0
                          1.15","Kills per round
                          0.74","Headshots
                          46.5%","Maps played
                          44","Deaths per round
                          0.65","Rounds contributed
                          71.6%"
Grim,"Rating 2.0
                          1.08","Kills per round
                          0.67","Headshots
                          48.8%","Maps played
                          44","Deaths per round
                          0.64","Rounds contributed
                          71.9%"
Stewie2K,,,,,,
FalleN,"Rating 2.0
                          1.02","Kills per round
                          0.64","Headshots
                          27.8%","Maps played
                          40","Deaths per round
                          0.62","Rounds contributed
                          71.5%"
degster,,,,,,
mir,"Rating 2.0
                          1.08","Kills per round
                          0.66","Headshots
                          50.8%","Maps played
                          52","Deaths per round
                          0.62","Rounds contributed
                          72.5%"
sdy,"Rating 2.0
                          1.06","Kills per round
                          0.68","Headshots
                          43.9%","Maps played
                          86","Deaths per round
                          0.65","Rounds contributed
                          71.0%"
magixx,"Rating 2.0
                          1.07","Kills per round
                          0.62","Headshots
                          46.4%","Maps played
                          64","Deaths per round
                          0.56","Rounds contributed
                          76.1%"
chopper,"Rating 2.0
                          1.01","Kills per round
                          0.61","Headshots
                          55.4%","Maps played
                          64","Deaths per round
                          0.62","Rounds contributed
                          72.2%"
Sico,"Rating 2.0
                          0.90","Kills per round
                          0.58","Headshots
                          51.3%","Maps played
                          18","Deaths per round
                          0.71","Rounds contributed
                          66.1%"
INS,"Rating 2.0
                          1.10","Kills per round
                          0.72","Headshots
                          48.4%","Maps played
                          18","Deaths per round
                          0.69","Rounds contributed
                          66.3%"
aliStair,"Rating 2.0
                          0.96","Kills per round
                          0.62","Headshots
                          36.9%","Maps played
                          18","Deaths per round
                          0.64","Rounds contributed
                          68.2%"
Hatz,"Rating 2.0
                          1.17","Kills per round
                          0.72","Headshots
                          51.4%","Maps played
                          31","Deaths per round
                          0.65","Rounds contributed
                          72.6%"
malta,"Rating 2.0
                          1.10","Kills per round
                          0.67","Headshots
                          41.8%","Maps played
                          37","Deaths per round
                          0.68","Rounds contributed
                          72.9%"
blameF,"Rating 2.0
                          1.26","Kills per round
                          0.75","Headshots
                          34.4%","Maps played
                          41","Deaths per round
                          0.55","Rounds contributed
                          75.6%"
jks,"Rating 2.0
                          1.02","Kills per round
                          0.61","Headshots
                          57.2%","Maps played
                          52","Deaths per round
                          0.61","Rounds contributed
                          74.7%"
k0nfig,"Rating 2.0
                          0.97","Kills per round
                          0.65","Headshots
                          61.2%","Maps played
                          37","Deaths per round
                          0.71","Rounds contributed
                          67.2%"
RUSH,,,,,,
poizon,,,,,,
ropz,"Rating 2.0
                          1.13","Kills per round
                          0.75","Headshots
                          59.5%","Maps played
                          28","Deaths per round
                          0.63","Rounds contributed
                          72.0%"
acoR,"Rating 2.0
                          0.99","Kills per round
                          0.65","Headshots
                          28.2%","Maps played
                          27","Deaths per round
                          0.64","Rounds contributed
                          65.1%"
Bymas,"Rating 2.0
                          1.09","Kills per round
                          0.67","Headshots
                          38.8%","Maps played
                          50","Deaths per round
                          0.62","Rounds contributed
                          73.5%"
frozen,"Rating 2.0
                          1.25","Kills per round
                          0.76","Headshots
                          53.3%","Maps played
                          43","Deaths per round
                          0.56","Rounds contributed
                          76.4%"
dexter,"Rating 2.0
                          0.88","Kills per round
                          0.57","Headshots
                          54.4%","Maps played
                          29","Deaths per round
                          0.71","Rounds contributed
                          66.1%"
flameZ,"Rating 2.0
                          1.07","Kills per round
                          0.65","Headshots
                          45.8%","Maps played
                          36","Deaths per round
                          0.62","Rounds contributed
                          73.1%"
valde,"Rating 2.0
                          1.12","Kills per round
                          0.70","Headshots
                          52.6%","Maps played
                          25","Deaths per round
                          0.67","Rounds contributed
                          75.0%"
mantuu,"Rating 2.0
                          1.06","Kills per round
                          0.67","Headshots
                          25.8%","Maps played
                          60","Deaths per round
                          0.61","Rounds contributed
                          71.9%"
Aleksib,"Rating 2.0
                          0.97","Kills per round
                          0.56","Headshots
                          41.6%","Maps played
                          40","Deaths per round
                          0.63","Rounds contributed
                          70.5%"
hades,"Rating 2.0
                          1.09","Kills per round
                          0.72","Headshots
                          27.2%","Maps played
                          46","Deaths per round
                          0.61","Rounds contributed
                          71.0%"
Spinx,"Rating 2.0
                          1.15","Kills per round
                          0.74","Headshots
                          52.3%","Maps played
                          36","Deaths per round
                          0.60","Rounds contributed
                          74.6%"
dycha,"Rating 2.0
                          1.04","Kills per round
                          0.64","Headshots
                          47.8%","Maps played
                          41","Deaths per round
                          0.66","Rounds contributed
                          70.2%"
doto,"Rating 2.0
                          0.91","Kills per round
                          0.59","Headshots
                          56.7%","Maps played
                          14","Deaths per round
                          0.70","Rounds contributed
                          63.7%"
Snappi,"Rating 2.0
                          0.92","Kills per round
                          0.57","Headshots
                          48.9%","Maps played
                          41","Deaths per round
                          0.68","Rounds contributed
                          67.9%"
KRIMZ,"Rating 2.0
                          1.02","Kills per round
                          0.63","Headshots
                          44.4%","Maps played
                          29","Deaths per round
                          0.62","Rounds contributed
                          69.7%"
Jackinho,"Rating 2.0
                          0.96","Kills per round
                          0.59","Headshots
                          37.7%","Maps played
                          24","Deaths per round
                          0.63","Rounds contributed
                          70.0%"
ALEX,,,,,,
Brollan,"Rating 2.0
                          0.98","Kills per round
                          0.61","Headshots
                          57.5%","Maps played
                          37","Deaths per round
                          0.71","Rounds contributed
                          69.8%"
mezii,"Rating 2.0
                          1.09","Kills per round
                          0.68","Headshots
                          52.0%","Maps played
                          29","Deaths per round
                          0.66","Rounds contributed
                          71.0%"
FL1T,"Rating 2.0
                          1.09","Kills per round
                          0.64","Headshots
                          45.3%","Maps played
                          52","Deaths per round
                          0.63","Rounds contributed
                          70.2%"
zorte,"Rating 2.0
                          1.19","Kills per round
                          0.77","Headshots
                          29.8%","Maps played
                          40","Deaths per round
                          0.59","Rounds contributed
                          73.3%"
almazer,"Rating 2.0
                          1.02","Kills per round
                          0.70","Headshots
                          50.3%","Maps played
                          11","Deaths per round
                          0.72","Rounds contributed
                          66.4%"
KENSI,"Rating 2.0
                          1.11","Kills per round
                          0.71","Headshots
                          49.0%","Maps played
                          81","Deaths per round
                          0.66","Rounds contributed
                          70.6%"
Jerry,"Rating 2.0
                          1.04","Kills per round
                          0.70","Headshots
                          53.6%","Maps played
                          9","Deaths per round
                          0.71","Rounds contributed
                          68.8%"
es3tag,,,,,,
NaToSaphiX,"Rating 2.0
                          1.00","Kills per round
                          0.65","Headshots
                          39.2%","Maps played
                          22","Deaths per round
                          0.64","Rounds contributed
                          70.8%"
guerri,"Rating 2.0
                          0.43","Kills per round
                          0.32","Headshots
                          44.4%","Maps played
                          1","Deaths per round
                          0.71","Rounds contributed
                          42.9%"
El1an,"Rating 2.0
                          0.99","Kills per round
                          0.61","Headshots
                          28.7%","Maps played
                          30","Deaths per round
                          0.59","Rounds contributed
                          70.6%"
Krad,"Rating 2.0
                          1.13","Kills per round
                          0.73","Headshots
                          55.7%","Maps played
                          16","Deaths per round
                          0.66","Rounds contributed
                          71.2%"
Forester,"Rating 2.0
                          1.08","Kills per round
                          0.67","Headshots
                          48.1%","Maps played
                          59","Deaths per round
                          0.64","Rounds contributed
                          71.6%"
NickelBack,"Rating 2.0
                          1.03","Kills per round
                          0.63","Headshots
                          42.0%","Maps played
                          59","Deaths per round
                          0.67","Rounds contributed
                          72.3%"
Lack1,"Rating 2.0
                          0.98","Kills per round
                          0.66","Headshots
                          48.1%","Maps played
                          81","Deaths per round
                          0.75","Rounds contributed
                          66.2%"
Maluk3,"Rating 2.0
                          0.88","Kills per round
                          0.58","Headshots
                          30.3%","Maps played
                          9","Deaths per round
                          0.72","Rounds contributed
                          63.1%"
xns,"Rating 2.0
                          1.05","Kills per round
                          0.67","Headshots
                          52.5%","Maps played
                          53","Deaths per round
                          0.65","Rounds contributed
                          74.0%"
prt,"Rating 2.0
                          0.90","Kills per round
                          0.60","Headshots
                          58.9%","Maps played
                          9","Deaths per round
                          0.72","Rounds contributed
                          71.0%"
malbsMd,"Rating 2.0
                          1.22","Kills per round
                          0.81","Headshots
                          60.4%","Maps played
                          39","Deaths per round
                          0.65","Rounds contributed
                          74.9%"
pesadelo,"Rating 2.0
                          1.15","Kills per round
                          0.81","Headshots
                          47.8%","Maps played
                          9","Deaths per round
                          0.73","Rounds contributed
                          67.9%"
gade,,,,,,
MICHU,"Rating 2.0
                          1.05","Kills per round
                          0.67","Headshots
                          59.4%","Maps played
                          37","Deaths per round
                          0.67","Rounds contributed
                          71.1%"
CeRq,"Rating 2.0
                          0.99","Kills per round
                          0.66","Headshots
                          30.6%","Maps played
                          3","Deaths per round
                          0.65","Rounds contributed
                          68.9%"
oBo,,,,,,
daps,"Rating 2.0
                          0.81","Kills per round
                          0.49","Headshots
                          41.7%","Maps played
                          8","Deaths per round
                          0.66","Rounds contributed
                          63.5%"
Brehze,,,,,,
NEOFRAG,"Rating 2.0
                          1.06","Kills per round
                          0.69","Headshots
                          54.2%","Maps played
                          20","Deaths per round
                          0.68","Rounds contributed
                          68.9%"
oskar,"Rating 2.0
                          1.08","Kills per round
                          0.68","Headshots
                          28.8%","Maps played
                          93","Deaths per round
                          0.61","Rounds contributed
                          70.2%"
SHOCK,"Rating 2.0
                          1.09","Kills per round
                          0.71","Headshots
                          52.4%","Maps played
                          94","Deaths per round
                          0.67","Rounds contributed
                          68.9%"
ZEDKO,"Rating 2.0
                          1.02","Kills per round
                          0.65","Headshots
                          61.0%","Maps played
                          93","Deaths per round
                          0.67","Rounds contributed
                          69.2%"
beastik,"Rating 2.0
                          0.93","Kills per round
                          0.58","Headshots
                          54.4%","Maps played
                          93","Deaths per round
                          0.67","Rounds contributed
                          68.7%"
Lucky,"Rating 2.0
                          1.14","Kills per round
                          0.71","Headshots
                          40.7%","Maps played
                          76","Deaths per round
                          0.56","Rounds contributed
                          74.4%"
Swisher,"Rating 2.0
                          1.18","Kills per round
                          0.76","Headshots
                          52.1%","Maps played
                          39","Deaths per round
                          0.68","Rounds contributed
                          70.9%"
junior,"Rating 2.0
                          1.17","Kills per round
                          0.74","Headshots
                          28.0%","Maps played
                          66","Deaths per round
                          0.57","Rounds contributed
                          74.5%"
Spongey,,,,,,
Jonji,"Rating 2.0
                          1.00","Kills per round
                          0.67","Headshots
                          43.5%","Maps played
                          18","Deaths per round
                          0.76","Rounds contributed
                          61.0%"
Shakezullah,,,,,,
coldzera,"Rating 2.0
                          1.00","Kills per round
                          0.64","Headshots
                          50.8%","Maps played
                          36","Deaths per round
                          0.65","Rounds contributed
                          71.6%"
exit,"Rating 2.0
                          1.06","Kills per round
                          0.64","Headshots
                          48.3%","Maps played
                          56","Deaths per round
                          0.59","Rounds contributed
                          74.6%"
shz,"Rating 2.0
                          1.01","Kills per round
                          0.63","Headshots
                          50.0%","Maps played
                          53","Deaths per round
                          0.66","Rounds contributed
                          70.3%"
brnz4n,"Rating 2.0
                          1.03","Kills per round
                          0.65","Headshots
                          55.1%","Maps played
                          56","Deaths per round
                          0.67","Rounds contributed
                          69.3%"
yel,,,,,,
nak,,,,,,
SPELLAN,"Rating 2.0
                          1.00","Kills per round
                          0.64","Headshots
                          42.2%","Maps played
                          11","Deaths per round
                          0.70","Rounds contributed
                          70.6%"
drop,"Rating 2.0
                          1.00","Kills per round
                          0.59","Headshots
                          48.9%","Maps played
                          56","Deaths per round
                          0.63","Rounds contributed
                          72.6%"
jabbi,"Rating 2.0
                          1.02","Kills per round
                          0.64","Headshots
                          54.1%","Maps played
                          33","Deaths per round
                          0.66","Rounds contributed
                          70.9%"
Zyphon,"Rating 2.0
                          1.13","Kills per round
                          0.71","Headshots
                          56.2%","Maps played
                          95","Deaths per round
                          0.64","Rounds contributed
                          73.3%"
roeJ,"Rating 2.0
                          0.99","Kills per round
                          0.64","Headshots
                          51.4%","Maps played
                          29","Deaths per round
                          0.70","Rounds contributed
                          66.1%"
nicoodoz,"Rating 2.0
                          1.20","Kills per round
                          0.80","Headshots
                          40.4%","Maps played
                          94","Deaths per round
                          0.63","Rounds contributed
                          72.6%"
HooXi,"Rating 2.0
                          0.87","Kills per round
                          0.52","Headshots
                          50.3%","Maps played
                          52","Deaths per round
                          0.68","Rounds contributed
                          67.5%"
stanislaw,"Rating 2.0
                          0.99","Kills per round
                          0.60","Headshots
                          46.9%","Maps played
                          58","Deaths per round
                          0.65","Rounds contributed
                          70.0%"
phzy,"Rating 2.0
                          1.37","Kills per round
                          0.84","Headshots
                          39.1%","Maps played
                          3","Deaths per round
                          0.53","Rounds contributed
                          72.7%"
kennyS,,,,,,
felps,"Rating 2.0
                          1.05","Kills per round
                          0.70","Headshots
                          41.4%","Maps played
                          20","Deaths per round
                          0.71","Rounds contributed
                          67.3%"
b4rtiN,"Rating 2.0
                          1.07","Kills per round
                          0.65","Headshots
                          54.3%","Maps played
                          19","Deaths per round
                          0.59","Rounds contributed
                          73.8%"
latto,"Rating 2.0
                          1.07","Kills per round
                          0.65","Headshots
                          55.3%","Maps played
                          36","Deaths per round
                          0.60","Rounds contributed
                          72.8%"
dumau,"Rating 2.0
                          1.11","Kills per round
                          0.70","Headshots
                          45.4%","Maps played
                          36","Deaths per round
                          0.64","Rounds contributed
                          71.7%"
TACO,,,,,,
smooya,"Rating 2.0
                          1.19","Kills per round
                          0.78","Headshots
                          27.2%","Maps played
                          29","Deaths per round
                          0.64","Rounds contributed
                          73.2%"
DANK1NG,,,,,,
SLOWLY,"Rating 2.0
                          1.13","Kills per round
                          0.73","Headshots
                          58.9%","Maps played
                          12","Deaths per round
                          0.68","Rounds contributed
                          71.3%"
Attacker,,,,,,
somebody,"Rating 2.0
                          1.25","Kills per round
                          0.82","Headshots
                          49.2%","Maps played
                          9","Deaths per round
                          0.60","Rounds contributed
                          81.1%"
Summer,"Rating 2.0
                          1.16","Kills per round
                          0.71","Headshots
                          66.7%","Maps played
                          3","Deaths per round
                          0.71","Rounds contributed
                          78.2%"
Maden,"Rating 2.0
                          1.00","Kills per round
                          0.65","Headshots
                          46.9%","Maps played
                          41","Deaths per round
                          0.67","Rounds contributed
                          70.3%"
b0RUP,"Rating 2.0
                          0.95","Kills per round
                          0.58","Headshots
                          60.0%","Maps played
                          41","Deaths per round
                          0.66","Rounds contributed
                          69.5%"
faveN,"Rating 2.0
                          1.12","Kills per round
                          0.70","Headshots
                          50.4%","Maps played
                          6","Deaths per round
                          0.65","Rounds contributed
                          76.7%"
Tuurtle,"Rating 2.0
                          1.05","Kills per round
                          0.67","Headshots
                          60.0%","Maps played
                          52","Deaths per round
                          0.68","Rounds contributed
                          69.6%"
WOOD7,"Rating 2.0
                          1.09","Kills per round
                          0.67","Headshots
                          23.0%","Maps played
                          52","Deaths per round
                          0.60","Rounds contributed
                          72.2%"
JOTA,"Rating 2.0
                          1.06","Kills per round
                          0.65","Headshots
                          52.3%","Maps played
                          17","Deaths per round
                          0.63","Rounds contributed
                          74.7%"
m0NESY,"Rating 2.0
                          1.16","Kills per round
                          0.74","Headshots
                          39.0%","Maps played
                          52","Deaths per round
                          0.60","Rounds contributed
                          71.4%"
autimatic,"Rating 2.0
                          1.11","Kills per round
                          0.70","Headshots
                          50.2%","Maps played
                          66","Deaths per round
                          0.67","Rounds contributed
                          71.7%"
nitr0,,,,,,
oSee,"Rating 2.0
                          1.04","Kills per round
                          0.67","Headshots
                          24.9%","Maps played
                          42","Deaths per round
                          0.60","Rounds contributed
                          70.4%"
FaNg,,,,,,
floppy,"Rating 2.0
                          1.10","Kills per round
                          0.68","Headshots
                          49.1%","Maps played
                          44","Deaths per round
                          0.62","Rounds contributed
                          73.6%"
JT,"Rating 2.0
                          0.95","Kills per round
                          0.56","Headshots
                          52.8%","Maps played
                          44","Deaths per round
                          0.65","Rounds contributed
                          70.5%"
saffee,"Rating 2.0
                          1.13","Kills per round
                          0.72","Headshots
                          28.1%","Maps played
                          56","Deaths per round
                          0.59","Rounds contributed
                          72.6%"
JDC,"Rating 2.0
                          1.11","Kills per round
                          0.73","Headshots
                          48.9%","Maps played
                          35","Deaths per round
                          0.64","Rounds contributed
                          73.2%"
torzsi,"Rating 2.0
                          1.22","Kills per round
                          0.75","Headshots
                          30.5%","Maps played
                          43","Deaths per round
                          0.53","Rounds contributed
                          77.0%"
NBK-,"Rating 2.0
                          0.92","Kills per round
                          0.56","Headshots
                          58.1%","Maps played
                          43","Deaths per round
                          0.68","Rounds contributed
                          68.6%"
Farlig,,,,,,
SunPayus,"Rating 2.0
                          1.22","Kills per round
                          0.76","Headshots
                          29.1%","Maps played
                          41","Deaths per round
                          0.57","Rounds contributed
                          74.5%"
DeathZz,,,,,,
dav1g,"Rating 2.0
                          1.13","Kills per round
                          0.71","Headshots
                          45.8%","Maps played
                          6","Deaths per round
                          0.70","Rounds contributed
                          74.3%"
mopoz,"Rating 2.0
                          0.97","Kills per round
                          0.60","Headshots
                          51.5%","Maps played
                          47","Deaths per round
                          0.70","Rounds contributed
                          68.7%"
Peppzor,"Rating 2.0
                          1.03","Kills per round
                          0.69","Headshots
                          51.8%","Maps played
                          60","Deaths per round
                          0.71","Rounds contributed
                          66.0%"
