Player,Rating 2.0,KPR,HS,Maps Played,DPR,Rounds Contributed
F1KU,"Rating 2.0
                          1.01","Kills per round
                          0.64","Headshots
                          55.6%","Maps played
                          62","Deaths per round
                          0.67","Rounds contributed
                          69.4%"
Furlan,"Rating 2.0
                          0.86","Kills per round
                          0.57","Headshots
                          49.6%","Maps played
                          37","Deaths per round
                          0.73","Rounds contributed
                          64.5%"
leman,,,,,,
ultimate,"Rating 2.0
                          0.68","Kills per round
                          0.52","Headshots
                          24.1%","Maps played
                          2","Deaths per round
                          0.75","Rounds contributed
                          58.9%"
mwlky,"Rating 2.0
                          1.04","Kills per round
                          0.67","Headshots
                          30.8%","Maps played
                          26","Deaths per round
                          0.61","Rounds contributed
                          69.5%"
headtr1ck,"Rating 2.0
                          1.08","Kills per round
                          0.68","Headshots
                          30.0%","Maps played
                          37","Deaths per round
                          0.57","Rounds contributed
                          70.5%"
PwnAlone,"Rating 2.0
                          1.10","Kills per round
                          0.69","Headshots
                          26.1%","Maps played
                          38","Deaths per round
                          0.63","Rounds contributed
                          70.7%"
ben1337,"Rating 2.0
                          0.93","Kills per round
                          0.60","Headshots
                          45.0%","Maps played
                          38","Deaths per round
                          0.69","Rounds contributed
                          68.6%"
djay,"Rating 2.0
                          1.03","Kills per round
                          0.75","Headshots
                          52.8%","Maps played
                          3","Deaths per round
                          0.75","Rounds contributed
                          62.0%"
ptr,,,,,,
Krimbo,"Rating 2.0
                          1.13","Kills per round
                          0.70","Headshots
                          49.5%","Maps played
                          64","Deaths per round
                          0.59","Rounds contributed
                          74.2%"
HEN1,"Rating 2.0
                          1.05","Kills per round
                          0.67","Headshots
                          28.8%","Maps played
                          20","Deaths per round
                          0.58","Rounds contributed
                          73.9%"
slaxz-,"Rating 2.0
                          1.27","Kills per round
                          0.80","Headshots
                          29.3%","Maps played
                          111","Deaths per round
                          0.57","Rounds contributed
                          76.6%"
Marix,"Rating 2.0
                          1.07","Kills per round
                          0.73","Headshots
                          55.3%","Maps played
                          51","Deaths per round
                          0.68","Rounds contributed
                          70.0%"
Staehr,"Rating 2.0
                          0.97","Kills per round
                          0.60","Headshots
                          46.4%","Maps played
                          41","Deaths per round
                          0.65","Rounds contributed
                          70.0%"
raalz,"Rating 2.0
                          0.96","Kills per round
                          0.59","Headshots
                          58.6%","Maps played
                          95","Deaths per round
                          0.65","Rounds contributed
                          70.8%"
Spiidi,"Rating 2.0
                          1.01","Kills per round
                          0.61","Headshots
                          39.6%","Maps played
                          108","Deaths per round
                          0.63","Rounds contributed
                          72.6%"
Banjo,"Rating 2.0
                          1.07","Kills per round
                          0.65","Headshots
                          50.7%","Maps played
                          36","Deaths per round
                          0.63","Rounds contributed
                          72.8%"
sterling,"Rating 2.0
                          1.13","Kills per round
                          0.72","Headshots
                          31.5%","Maps played
                          29","Deaths per round
                          0.58","Rounds contributed
                          71.1%"
hazr,"Rating 2.0
                          1.24","Kills per round
                          0.79","Headshots
                          52.2%","Maps played
                          37","Deaths per round
                          0.65","Rounds contributed
                          78.5%"
ap0c,"Rating 2.0
                          0.59","Kills per round
                          0.49","Headshots
                          50.0%","Maps played
                          2","Deaths per round
                          0.86","Rounds contributed
                          56.8%"
Liki,"Rating 2.0
                          1.11","Kills per round
                          0.68","Headshots
                          49.7%","Maps played
                          38","Deaths per round
                          0.61","Rounds contributed
                          73.0%"
SaVage,"Rating 2.0
                          1.10","Kills per round
                          0.70","Headshots
                          59.6%","Maps played
                          31","Deaths per round
                          0.60","Rounds contributed
                          73.2%"
Patsi,"Rating 2.0
                          1.02","Kills per round
                          0.65","Headshots
                          40.2%","Maps played
                          42","Deaths per round
                          0.70","Rounds contributed
                          68.2%"
s1ren,"Rating 2.0
                          1.12","Kills per round
                          0.70","Headshots
                          59.5%","Maps played
                          40","Deaths per round
                          0.63","Rounds contributed
                          76.3%"
boltz,"Rating 2.0
                          1.07","Kills per round
                          0.64","Headshots
                          38.6%","Maps played
                          23","Deaths per round
                          0.65","Rounds contributed
                          72.6%"
fer,,,,,,
fnx,,,,,,
rigoN,"Rating 2.0
                          1.04","Kills per round
                          0.71","Headshots
                          53.2%","Maps played
                          52","Deaths per round
                          0.73","Rounds contributed
                          67.1%"
SENER1,"Rating 2.0
                          0.95","Kills per round
                          0.58","Headshots
                          51.1%","Maps played
                          52","Deaths per round
                          0.67","Rounds contributed
                          68.8%"
sinnopsyy,"Rating 2.0
                          1.01","Kills per round
                          0.66","Headshots
                          50.1%","Maps played
                          52","Deaths per round
                          0.70","Rounds contributed
                          68.2%"
gxx-,"Rating 2.0
                          1.05","Kills per round
                          0.70","Headshots
                          29.0%","Maps played
                          52","Deaths per round
                          0.62","Rounds contributed
                          69.9%"
juanflatroo,"Rating 2.0
                          1.08","Kills per round
                          0.73","Headshots
                          55.0%","Maps played
                          50","Deaths per round
                          0.71","Rounds contributed
                          70.1%"
Snax,"Rating 2.0
                          1.04","Kills per round
                          0.65","Headshots
                          39.1%","Maps played
                          88","Deaths per round
                          0.67","Rounds contributed
                          70.2%"
ztr,"Rating 2.0
                          1.12","Kills per round
                          0.68","Headshots
                          54.0%","Maps played
                          6","Deaths per round
                          0.60","Rounds contributed
                          73.7%"
BIT,,,,,,
chelo,"Rating 2.0
                          0.97","Kills per round
                          0.60","Headshots
                          58.9%","Maps played
                          40","Deaths per round
                          0.67","Rounds contributed
                          70.2%"
biguzera,"Rating 2.0
                          1.13","Kills per round
                          0.68","Headshots
                          52.0%","Maps played
                          47","Deaths per round
                          0.67","Rounds contributed
                          72.7%"
nython,"Rating 2.0
                          1.07","Kills per round
                          0.72","Headshots
                          34.8%","Maps played
                          39","Deaths per round
                          0.64","Rounds contributed
                          68.5%"
hardzao,"Rating 2.0
                          1.03","Kills per round
                          0.64","Headshots
                          48.9%","Maps played
                          39","Deaths per round
                          0.64","Rounds contributed
                          70.8%"
NEKIZ,"Rating 2.0
                          0.96","Kills per round
                          0.61","Headshots
                          48.7%","Maps played
                          36","Deaths per round
                          0.73","Rounds contributed
                          66.8%"
PKL,"Rating 2.0
                          0.90","Kills per round
                          0.51","Headshots
                          47.6%","Maps played
                          49","Deaths per round
                          0.63","Rounds contributed
                          69.9%"
Norwi,"Rating 2.0
                          1.09","Kills per round
                          0.70","Headshots
                          48.8%","Maps played
                          81","Deaths per round
                          0.64","Rounds contributed
                          73.2%"
shalfey,"Rating 2.0
                          1.16","Kills per round
                          0.73","Headshots
                          46.2%","Maps played
                          45","Deaths per round
                          0.62","Rounds contributed
                          71.6%"
max,"Rating 2.0
                          1.02","Kills per round
                          0.60","Headshots
                          46.2%","Maps played
                          42","Deaths per round
                          0.63","Rounds contributed
                          71.1%"
dgt,"Rating 2.0
                          1.19","Kills per round
                          0.76","Headshots
                          49.5%","Maps played
                          42","Deaths per round
                          0.57","Rounds contributed
                          74.8%"
dav1deuS,"Rating 2.0
                          1.13","Kills per round
                          0.74","Headshots
                          53.2%","Maps played
                          42","Deaths per round
                          0.69","Rounds contributed
                          69.9%"
nqz,"Rating 2.0
                          1.08","Kills per round
                          0.65","Headshots
                          25.7%","Maps played
                          36","Deaths per round
                          0.56","Rounds contributed
                          73.1%"
rox,,,,,,
Calyx,"Rating 2.0
                          1.01","Kills per round
                          0.63","Headshots
                          59.7%","Maps played
                          64","Deaths per round
                          0.60","Rounds contributed
                          70.4%"
woxic,"Rating 2.0
                          1.10","Kills per round
                          0.67","Headshots
                          30.4%","Maps played
                          64","Deaths per round
                          0.56","Rounds contributed
                          72.9%"
imoRR,,,,,,
xfl0ud,,,,,,
n0rb3r7,"Rating 2.0
                          0.99","Kills per round
                          0.57","Headshots
                          55.6%","Maps played
                          25","Deaths per round
                          0.62","Rounds contributed
                          69.9%"
fame,"Rating 2.0
                          1.11","Kills per round
                          0.67","Headshots
                          57.3%","Maps played
                          52","Deaths per round
                          0.60","Rounds contributed
                          73.4%"
Fessor,"Rating 2.0
                          1.14","Kills per round
                          0.78","Headshots
                          56.7%","Maps played
                          8","Deaths per round
                          0.69","Rounds contributed
                          71.6%"
w0nderful,"Rating 2.0
                          1.32","Kills per round
                          0.85","Headshots
                          34.3%","Maps played
                          95","Deaths per round
                          0.57","Rounds contributed
                          77.3%"
try,"Rating 2.0
                          1.15","Kills per round
                          0.71","Headshots
                          37.5%","Maps played
                          42","Deaths per round
                          0.57","Rounds contributed
                          73.5%"
neaLaN,"Rating 2.0
                          0.87","Kills per round
                          0.56","Headshots
                          53.0%","Maps played
                          27","Deaths per round
                          0.70","Rounds contributed
                          64.4%"
HexT,"Rating 2.0
                          1.10","Kills per round
                          0.69","Headshots
                          48.5%","Maps played
                          66","Deaths per round
                          0.65","Rounds contributed
                          73.0%"
hallzerk,"Rating 2.0
                          1.12","Kills per round
                          0.71","Headshots
                          34.4%","Maps played
                          44","Deaths per round
                          0.59","Rounds contributed
                          72.3%"
xertioN,"Rating 2.0
                          1.11","Kills per round
                          0.70","Headshots
                          51.3%","Maps played
                          43","Deaths per round
                          0.68","Rounds contributed
                          71.1%"
FASHR,"Rating 2.0
                          1.04","Kills per round
                          0.65","Headshots
                          53.9%","Maps played
                          62","Deaths per round
                          0.67","Rounds contributed
                          69.3%"
Martinez,"Rating 2.0
                          1.13","Kills per round
                          0.73","Headshots
                          32.9%","Maps played
                          47","Deaths per round
                          0.60","Rounds contributed
                          72.2%"
paz,,,,,,
MAJ3R,"Rating 2.0
                          0.96","Kills per round
                          0.57","Headshots
                          46.5%","Maps played
                          64","Deaths per round
                          0.65","Rounds contributed
                          70.6%"
Ex3rcice,"Rating 2.0
                          1.03","Kills per round
                          0.65","Headshots
                          52.5%","Maps played
                          71","Deaths per round
                          0.64","Rounds contributed
                          72.4%"
afro,"Rating 2.0
                          1.10","Kills per round
                          0.70","Headshots
                          29.1%","Maps played
                          29","Deaths per round
                          0.60","Rounds contributed
                          69.7%"
bodyy,"Rating 2.0
                          1.09","Kills per round
                          0.68","Headshots
                          53.1%","Maps played
                          43","Deaths per round
                          0.67","Rounds contributed
                          70.6%"
Djoko,"Rating 2.0
                          1.07","Kills per round
                          0.68","Headshots
                          59.2%","Maps played
                          71","Deaths per round
                          0.71","Rounds contributed
                          71.4%"
stadodo,"Rating 2.0
                          1.01","Kills per round
                          0.59","Headshots
                          36.0%","Maps played
                          24","Deaths per round
                          0.61","Rounds contributed
                          69.4%"
arrozdoce,"Rating 2.0
                          1.04","Kills per round
                          0.65","Headshots
                          55.6%","Maps played
                          67","Deaths per round
                          0.65","Rounds contributed
                          69.7%"
Ag1l,"Rating 2.0
                          1.03","Kills per round
                          0.66","Headshots
                          49.2%","Maps played
                          24","Deaths per round
                          0.66","Rounds contributed
                          71.8%"
kst,,,,,,
DDias,"Rating 2.0
                          0.95","Kills per round
                          0.62","Headshots
                          59.3%","Maps played
                          28","Deaths per round
                          0.78","Rounds contributed
                          63.2%"
NertZ,"Rating 2.0
                          1.15","Kills per round
                          0.75","Headshots
                          47.7%","Maps played
                          41","Deaths per round
                          0.63","Rounds contributed
                          72.0%"
CRUC1AL,"Rating 2.0
                          0.99","Kills per round
                          0.62","Headshots
                          31.3%","Maps played
                          50","Deaths per round
                          0.63","Rounds contributed
                          70.1%"
MiGHTYMAX,"Rating 2.0
                          0.94","Kills per round
                          0.57","Headshots
                          50.0%","Maps played
                          61","Deaths per round
                          0.64","Rounds contributed
                          70.0%"
Kjaerbye,,,,,,
Surreal,"Rating 2.0
                          1.07","Kills per round
                          0.68","Headshots
                          45.4%","Maps played
                          61","Deaths per round
                          0.65","Rounds contributed
                          72.1%"
s1n,"Rating 2.0
                          1.04","Kills per round
                          0.64","Headshots
                          51.5%","Maps played
                          64","Deaths per round
                          0.66","Rounds contributed
                          71.9%"
lauNX,"Rating 2.0
                          1.01","Kills per round
                          0.66","Headshots
                          60.1%","Maps played
                          43","Deaths per round
                          0.65","Rounds contributed
                          70.8%"
vsm,"Rating 2.0
                          1.10","Kills per round
                          0.69","Headshots
                          54.4%","Maps played
                          49","Deaths per round
                          0.64","Rounds contributed
                          72.1%"
Lucaozy,"Rating 2.0
                          1.20","Kills per round
                          0.77","Headshots
                          48.3%","Maps played
                          49","Deaths per round
                          0.64","Rounds contributed
                          73.9%"
lux,"Rating 2.0
                          1.15","Kills per round
                          0.72","Headshots
                          52.1%","Maps played
                          47","Deaths per round
                          0.64","Rounds contributed
                          72.5%"
npl,"Rating 2.0
                          1.06","Kills per round
                          0.67","Headshots
                          52.9%","Maps played
                          67","Deaths per round
                          0.69","Rounds contributed
                          70.3%"
Buzz,"Rating 2.0
                          1.04","Kills per round
                          0.64","Headshots
                          44.7%","Maps played
                          41","Deaths per round
                          0.64","Rounds contributed
                          72.7%"
maxster,"Rating 2.0
                          1.14","Kills per round
                          0.72","Headshots
                          52.2%","Maps played
                          26","Deaths per round
                          0.64","Rounds contributed
                          73.7%"
wiz,"Rating 2.0
                          1.08","Kills per round
                          0.68","Headshots
                          27.4%","Maps played
                          58","Deaths per round
                          0.59","Rounds contributed
                          70.5%"
KaiR0N-,"Rating 2.0
                          1.07","Kills per round
                          0.71","Headshots
                          55.7%","Maps played
                          40","Deaths per round
                          0.71","Rounds contributed
                          70.0%"
ruggah,,,,,,
Annihilation,,,,,,
Techno,"Rating 2.0
                          1.06","Kills per round
                          0.69","Headshots
                          62.4%","Maps played
                          36","Deaths per round
                          0.71","Rounds contributed
                          71.4%"
Bart4k,"Rating 2.0
                          1.06","Kills per round
                          0.65","Headshots
                          59.2%","Maps played
                          12","Deaths per round
                          0.62","Rounds contributed
                          72.6%"
bLitz,"Rating 2.0
                          1.11","Kills per round
                          0.73","Headshots
                          50.4%","Maps played
                          36","Deaths per round
                          0.67","Rounds contributed
                          69.9%"
sk0R,"Rating 2.0
                          1.05","Kills per round
                          0.66","Headshots
                          40.1%","Maps played
                          12","Deaths per round
                          0.67","Rounds contributed
                          71.3%"
r3salt,"Rating 2.0
                          1.15","Kills per round
                          0.73","Headshots
                          61.7%","Maps played
                          45","Deaths per round
                          0.67","Rounds contributed
                          72.4%"
skullz,"Rating 2.0
                          1.19","Kills per round
                          0.72","Headshots
                          53.5%","Maps played
                          47","Deaths per round
                          0.56","Rounds contributed
                          77.1%"
zevy,"Rating 2.0
                          1.14","Kills per round
                          0.75","Headshots
                          34.9%","Maps played
                          49","Deaths per round
                          0.62","Rounds contributed
                          73.2%"
n9xtz,"Rating 2.0
                          0.89","Kills per round
                          0.57","Headshots
                          58.2%","Maps played
                          44","Deaths per round
                          0.70","Rounds contributed
                          66.0%"
sausol,"Rating 2.0
                          0.92","Kills per round
                          0.60","Headshots
                          49.3%","Maps played
                          18","Deaths per round
                          0.71","Rounds contributed
                          67.4%"
kaze,"Rating 2.0
                          1.10","Kills per round
                          0.67","Headshots
                          33.4%","Maps played
                          39","Deaths per round
                          0.57","Rounds contributed
                          74.3%"
Moseyuh,"Rating 2.0
                          1.16","Kills per round
                          0.72","Headshots
                          57.8%","Maps played
                          39","Deaths per round
                          0.64","Rounds contributed
                          73.3%"
Mercury,"Rating 2.0
                          1.11","Kills per round
                          0.69","Headshots
                          55.6%","Maps played
                          39","Deaths per round
                          0.69","Rounds contributed
                          70.7%"
JamYoung,"Rating 2.0
                          1.09","Kills per round
                          0.70","Headshots
                          57.1%","Maps played
                          39","Deaths per round
                          0.64","Rounds contributed
                          72.0%"
advent,"Rating 2.0
                          0.80","Kills per round
                          0.47","Headshots
                          55.9%","Maps played
                          39","Deaths per round
                          0.68","Rounds contributed
                          65.7%"
CacaNito,"Rating 2.0
                          1.05","Kills per round
                          0.68","Headshots
                          51.5%","Maps played
                          55","Deaths per round
                          0.68","Rounds contributed
                          69.9%"
MisteM,"Rating 2.0
                          0.99","Kills per round
                          0.68","Headshots
                          54.8%","Maps played
                          7","Deaths per round
                          0.78","Rounds contributed
                          65.4%"
b0denmaster,"Rating 2.0
                          1.05","Kills per round
                          0.68","Headshots
                          29.2%","Maps played
                          27","Deaths per round
                          0.60","Rounds contributed
                          69.5%"
Vexite,"Rating 2.0
                          0.97","Kills per round
                          0.65","Headshots
                          61.3%","Maps played
                          18","Deaths per round
                          0.73","Rounds contributed
                          66.1%"
Liazz,"Rating 2.0
                          0.97","Kills per round
                          0.58","Headshots
                          47.6%","Maps played
                          18","Deaths per round
                          0.67","Rounds contributed
                          69.5%"
asap,"Rating 2.0
                          1.09","Kills per round
                          0.69","Headshots
                          46.9%","Maps played
                          22","Deaths per round
                          0.68","Rounds contributed
                          70.3%"
nettik,"Rating 2.0
                          1.24","Kills per round
                          0.81","Headshots
                          54.6%","Maps played
                          22","Deaths per round
                          0.66","Rounds contributed
                          73.3%"
TjP,"Rating 2.0
                          0.97","Kills per round
                          0.64","Headshots
                          59.3%","Maps played
                          22","Deaths per round
                          0.71","Rounds contributed
                          68.7%"
chelleos,"Rating 2.0
                          0.98","Kills per round
                          0.63","Headshots
                          33.8%","Maps played
                          22","Deaths per round
                          0.70","Rounds contributed
                          67.3%"
ADK,"Rating 2.0
                          0.75","Kills per round
                          0.47","Headshots
                          38.9%","Maps played
                          22","Deaths per round
                          0.66","Rounds contributed
                          63.6%"
hyped,"Rating 2.0
                          1.15","Kills per round
                          0.76","Headshots
                          26.7%","Maps played
                          16","Deaths per round
                          0.62","Rounds contributed
                          71.1%"
JUST,"Rating 2.0
                          0.97","Kills per round
                          0.61","Headshots
                          53.0%","Maps played
                          47","Deaths per round
                          0.69","Rounds contributed
                          68.8%"
ewjerkz,"Rating 2.0
                          1.07","Kills per round
                          0.68","Headshots
                          50.9%","Maps played
                          67","Deaths per round
                          0.71","Rounds contributed
                          71.4%"
MUTiRiS,"Rating 2.0
                          1.06","Kills per round
                          0.65","Headshots
                          48.1%","Maps played
                          67","Deaths per round
                          0.62","Rounds contributed
                          71.7%"
story,"Rating 2.0
                          1.15","Kills per round
                          0.74","Headshots
                          29.4%","Maps played
                          67","Deaths per round
                          0.60","Rounds contributed
                          72.6%"
roman,"Rating 2.0
                          0.97","Kills per round
                          0.61","Headshots
                          51.7%","Maps played
                          67","Deaths per round
                          0.67","Rounds contributed
                          71.1%"
insani,"Rating 2.0
                          1.12","Kills per round
                          0.72","Headshots
                          55.1%","Maps played
                          56","Deaths per round
                          0.66","Rounds contributed
                          70.8%"
hasteka,"Rating 2.0
                          0.86","Kills per round
                          0.57","Headshots
                          54.3%","Maps played
                          36","Deaths per round
                          0.71","Rounds contributed
                          63.4%"
Xizt,,,,,,
KEi,"Rating 2.0
                          1.07","Kills per round
                          0.70","Headshots
                          46.3%","Maps played
                          46","Deaths per round
                          0.71","Rounds contributed
                          69.0%"
mynio,"Rating 2.0
                          0.89","Kills per round
                          0.57","Headshots
                          47.3%","Maps played
                          46","Deaths per round
                          0.72","Rounds contributed
                          65.3%"
Goofy,"Rating 2.0
                          1.01","Kills per round
                          0.62","Headshots
                          38.4%","Maps played
                          46","Deaths per round
                          0.66","Rounds contributed
                          70.9%"
Kylar,"Rating 2.0
                          1.02","Kills per round
                          0.66","Headshots
                          54.1%","Maps played
                          46","Deaths per round
                          0.66","Rounds contributed
                          71.0%"
buda,"Rating 2.0
                          1.00","Kills per round
                          0.59","Headshots
                          53.7%","Maps played
                          42","Deaths per round
                          0.62","Rounds contributed
                          75.0%"
iM,"Rating 2.0
                          1.00","Kills per round
                          0.64","Headshots
                          44.4%","Maps played
                          40","Deaths per round
                          0.69","Rounds contributed
                          68.2%"
siuhy,"Rating 2.0
                          0.98","Kills per round
                          0.61","Headshots
                          51.3%","Maps played
                          43","Deaths per round
                          0.69","Rounds contributed
                          70.5%"
isak,"Rating 2.0
                          1.01","Kills per round
                          0.65","Headshots
                          44.3%","Maps played
                          29","Deaths per round
                          0.65","Rounds contributed
                          69.4%"
Keoz,"Rating 2.0
                          0.91","Kills per round
                          0.61","Headshots
                          56.7%","Maps played
                          27","Deaths per round
                          0.74","Rounds contributed
                          64.8%"
nawwk,"Rating 2.0
                          1.08","Kills per round
                          0.68","Headshots
                          34.3%","Maps played
                          55","Deaths per round
                          0.58","Rounds contributed
                          72.8%"
STYKO,"Rating 2.0
                          0.96","Kills per round
                          0.62","Headshots
                          56.4%","Maps played
                          40","Deaths per round
                          0.66","Rounds contributed
                          69.6%"
jkaem,"Rating 2.0
                          1.14","Kills per round
                          0.75","Headshots
                          52.3%","Maps played
                          55","Deaths per round
                          0.72","Rounds contributed
                          68.5%"
jL,"Rating 2.0
                          1.00","Kills per round
                          0.64","Headshots
                          49.4%","Maps played
                          40","Deaths per round
                          0.65","Rounds contributed
                          69.5%"
kyxsan,"Rating 2.0
                          0.99","Kills per round
                          0.62","Headshots
                          48.4%","Maps played
                          55","Deaths per round
                          0.67","Rounds contributed
                          72.6%"
BOROS,"Rating 2.0
                          1.13","Kills per round
                          0.78","Headshots
                          65.3%","Maps played
                          43","Deaths per round
                          0.71","Rounds contributed
                          68.7%"
Woro2k,"Rating 2.0
                          1.15","Kills per round
                          0.76","Headshots
                          32.4%","Maps played
                          87","Deaths per round
                          0.63","Rounds contributed
                          71.0%"
DemQQ,"Rating 2.0
                          1.12","Kills per round
                          0.70","Headshots
                          50.4%","Maps played
                          87","Deaths per round
                          0.65","Rounds contributed
                          72.8%"
kRaSnaL,"Rating 2.0
                          1.00","Kills per round
                          0.65","Headshots
                          46.2%","Maps played
                          86","Deaths per round
                          0.69","Rounds contributed
                          69.7%"
CYPHER,"Rating 2.0
                          0.98","Kills per round
                          0.64","Headshots
                          50.4%","Maps played
                          25","Deaths per round
                          0.74","Rounds contributed
                          66.6%"
volt,"Rating 2.0
                          0.95","Kills per round
                          0.61","Headshots
                          50.2%","Maps played
                          27","Deaths per round
                          0.70","Rounds contributed
                          66.4%"
rallen,"Rating 2.0
                          1.11","Kills per round
                          0.71","Headshots
                          46.4%","Maps played
                          50","Deaths per round
                          0.67","Rounds contributed
                          71.0%"
Thomas,"Rating 2.0
                          0.92","Kills per round
                          0.59","Headshots
                          38.9%","Maps played
                          30","Deaths per round
                          0.73","Rounds contributed
                          67.5%"
Rainwaker,"Rating 2.0
                          0.96","Kills per round
                          0.58","Headshots
                          37.8%","Maps played
                          34","Deaths per round
                          0.65","Rounds contributed
                          68.9%"
mhL,"Rating 2.0
                          1.08","Kills per round
                          0.69","Headshots
                          34.4%","Maps played
                          41","Deaths per round
                          0.62","Rounds contributed
                          72.2%"
Jimpphat,"Rating 2.0
                          1.10","Kills per round
                          0.64","Headshots
                          52.9%","Maps played
                          43","Deaths per round
                          0.55","Rounds contributed
                          77.2%"
br0,"Rating 2.0
                          0.98","Kills per round
                          0.63","Headshots
                          54.9%","Maps played
                          87","Deaths per round
                          0.68","Rounds contributed
                          70.3%"
regali,"Rating 2.0
                          1.06","Kills per round
                          0.67","Headshots
                          32.5%","Maps played
                          62","Deaths per round
                          0.60","Rounds contributed
                          71.9%"
910,"Rating 2.0
                          1.09","Kills per round
                          0.69","Headshots
                          31.0%","Maps played
                          36","Deaths per round
                          0.62","Rounds contributed
                          72.1%"
mzinho,"Rating 2.0
                          1.05","Kills per round
                          0.68","Headshots
                          62.8%","Maps played
                          36","Deaths per round
                          0.68","Rounds contributed
                          69.8%"
prosus,"Rating 2.0
                          1.02","Kills per round
                          0.64","Headshots
                          58.7%","Maps played
                          64","Deaths per round
                          0.69","Rounds contributed
                          70.6%"
Walco,"Rating 2.0
                          0.95","Kills per round
                          0.60","Headshots
                          57.5%","Maps played
                          66","Deaths per round
                          0.68","Rounds contributed
                          66.8%"
Jeorge,"Rating 2.0
                          1.00","Kills per round
                          0.63","Headshots
                          50.6%","Maps played
                          66","Deaths per round
                          0.65","Rounds contributed
                          70.2%"
Sonic,"Rating 2.0
                          1.13","Kills per round
                          0.77","Headshots
                          53.2%","Maps played
                          36","Deaths per round
                          0.69","Rounds contributed
                          68.9%"
Altekz,"Rating 2.0
                          1.17","Kills per round
                          0.75","Headshots
                          50.7%","Maps played
                          94","Deaths per round
                          0.63","Rounds contributed
                          72.9%"
f0rest,,,,,,
Bwills,"Rating 2.0
                          1.02","Kills per round
                          0.66","Headshots
                          50.0%","Maps played
                          40","Deaths per round
                          0.66","Rounds contributed
                          68.9%"
MarKE,"Rating 2.0
                          1.10","Kills per round
                          0.69","Headshots
                          55.8%","Maps played
                          47","Deaths per round
                          0.65","Rounds contributed
                          72.6%"
nosraC,"Rating 2.0
                          1.03","Kills per round
                          0.66","Headshots
                          44.8%","Maps played
                          47","Deaths per round
                          0.70","Rounds contributed
                          68.0%"
cJ,"Rating 2.0
                          1.02","Kills per round
                          0.67","Headshots
                          54.9%","Maps played
                          46","Deaths per round
                          0.69","Rounds contributed
                          69.3%"
cynic,"Rating 2.0
                          1.04","Kills per round
                          0.64","Headshots
                          32.8%","Maps played
                          34","Deaths per round
                          0.64","Rounds contributed
                          72.6%"